genetics_bool,genetic_sd,slot_duration,start_abdominal,timestep,simultaneous_fixation,clutch_m,clutch_sd,noise_sd,n_embryos,smallest_n,total_clutches,chisquare,chi_pvalue,pearsonsR,Rsquared,pear_pvalue
False,0,60,42,2,False,10,6,20,692,49,70,1.45736434109,0.962276224684,0.984209454142,0.968668249622,0.0
False,0,60,42,2,False,10,6,20,731,53,73,1.70397111913,0.944814279041,0.98530919113,0.970834202125,0.0
True,5,120,42,2,True,10,6,20,656,68,73,8.3324099723,0.214747447461,0.959312424062,0.920280326959,0.0
True,10,30,42,2,False,10,6,20,656,16,66,3.37160120846,0.760966751249,0.963010467773,0.927389161039,0.0
True,5,120,42,2,True,10,6,20,620,78,71,15.618556701,0.0159545573118,0.968884125846,0.938736449315,0.0
False,0,15,42,2,False,10,6,20,760,5,75,0.36018957346,0.99914894368,0.987349025534,0.974858098224,0.0
False,0,60,42,2,True,10,6,20,763,35,84,5.01630434783,0.541723667147,0.98468693168,0.969608353421,0.0
True,5,60,42,2,False,10,6,20,705,52,74,2.86506469501,0.82558215807,0.979293877467,0.959016498444,0.0
False,0,120,42,2,True,10,6,20,657,53,63,25.8703071672,0.000235373962653,0.974755385202,0.95014806098,0.0
True,10,120,42,2,True,10,6,20,597,82,65,20.75,0.00203428183741,0.935698198227,0.875531118166,2.10787282974e-271
False,0,60,42,2,False,10,6,20,729,44,67,2.27272727273,0.892985772192,0.985453000255,0.971117615712,0.0
False,0,60,42,2,False,10,6,20,688,43,71,2.72123893805,0.842932261616,0.983276460414,0.966832597605,0.0
True,10,15,42,2,False,10,6,20,714,7,68,6.87804878049,0.332272663804,0.951142528029,0.904672108626,0.0
True,5,30,42,2,False,10,6,20,607,17,54,5.99426934097,0.423832341201,0.984553238858,0.969345080147,0.0
True,10,120,42,2,True,10,6,20,821,80,83,24.5535248042,0.000412934349415,0.967384838676,0.9358334261,0.0
False,0,15,42,2,False,10,6,20,778,11,74,0.940919037199,0.987753089922,0.9873002718,0.974761826696,0.0
False,0,120,42,2,False,10,6,20,899,134,79,3.85217391304,0.696673225294,0.973508209013,0.947718233016,0.0
False,0,120,42,2,False,10,6,20,775,120,70,5.43079315708,0.489860440375,0.976095611666,0.952762643114,0.0
False,0,15,42,2,False,10,6,20,617,8,57,1.18805970149,0.977470371792,0.988752193295,0.977630899746,0.0
True,5,60,42,2,True,10,6,20,696,20,75,8.8038277512,0.184914950558,0.973472366134,0.947648447627,0.0
False,0,120,42,2,True,10,6,20,793,85,79,10.7798165138,0.0954245421471,0.976432314131,0.953420064079,0.0
False,0,60,42,2,False,10,6,20,782,53,77,0.468085106383,0.998205462509,0.984689431505,0.969613276518,0.0
True,5,30,42,2,True,10,6,20,701,9,70,4.15384615385,0.65586567269,0.980959592793,0.962281722694,0.0
False,0,15,42,2,False,10,6,20,821,8,78,1.20833333333,0.976471102786,0.987725483246,0.975601630253,0.0
True,5,15,42,2,False,10,6,20,659,7,61,1.38095238095,0.967006857032,0.981775804031,0.963883729381,0.0
